y1,y2,y3,y4,y5,y6,y7,y8,Target3
2.617797175,-0.781370918,-3.125483671,22.33266167,-14.62407196,2.010853147,-3.125483671,-13.38870737,-4.635620368
-0.140274888,-0.28903104,-1.156124161,1.532035834,8.137649524,-0.032999217,-1.156124161,-10.33561294,-0.355847433
3.712708553,0.513311851,2.053247403,-44.67166765,-6.006885667,-0.614164346,2.053247403,-15.20486009,4.341542885
-1.803948292,0.240731577,0.962926307,30.69695569,21.91075072,-0.034192822,0.962926307,34.18682762,1.32774202
0.814384265,-0.458664528,-1.834658112,-27.97602146,-9.071916574,-0.310113038,-1.834658112,-40.72739829,-1.405190694
-2.596947426,-0.035185255,-0.14074102,-13.53548846,-15.81760812,0.550366438,-0.14074102,-12.23580097,-3.670204026
6.597893981,0.360554942,1.442219769,-12.08962005,-12.40051285,1.245953372,1.442219769,4.750501645,0.669711528
-1.930207719,-1.173024419,-4.692097675,25.95973906,-38.51450714,-1.256989196,-4.692097675,-26.1531855,-4.004571582
4.66897162,0.262244169,1.048976676,10.94719165,-28.13756443,1.183597869,1.048976676,19.24752008,-2.075533551
3.039492119,-1.052960843,-4.21184337,17.91223318,-7.823817833,-1.686496881,-4.21184337,-27.78864716,-0.395300375
1.27325307,-0.296665073,-1.186660291,5.819055763,6.700245281,0.690182925,-1.186660291,-7.211358298,-1.667738456
-0.336396277,0.791895632,3.167582529,-12.7070533,-8.956524816,-1.477638169,3.167582529,21.51018264,6.826724239
-4.986487449,0.066709784,0.266839137,-16.51207864,2.016555109,1.392828535,0.266839137,-10.54127155,-2.68973296
-0.103391848,0.58408283,2.336331321,-8.28228581,3.65982978,-0.253664557,2.336331321,16.73748456,4.394309674
-4.769857427,0.118420912,0.473683647,23.91720775,8.466256647,0.097363187,0.473683647,23.87060267,-0.327493072
-0.696754517,-0.234775239,-0.939100955,5.668907743,25.46802408,-3.127196144,-0.939100955,-4.85588336,6.331731687
1.919062563,-0.040073019,-0.160292078,-13.35692669,-14.56061123,-1.244036707,-0.160292078,-12.28846213,1.989227667
-4.638564362,0.044742567,0.178970268,-7.172880397,13.62919908,-0.174133108,0.178970268,-3.94860164,0.626964016
1.515729501,-0.160505081,-0.642020325,9.948501949,16.63264784,-0.545653776,-0.642020325,1.538598313,1.595980666
-1.286848728,0.404986769,1.619947076,-15.85762267,6.517148927,0.612013334,1.619947076,3.51337262,1.108113942
-0.446365764,-0.282663101,-1.130652402,5.110011166,7.29894189,1.684723717,-1.130652402,-7.218515092,-4.682818357
-3.849103376,0.496899644,1.987598575,-6.309073938,1.716561967,-0.641880961,1.987598575,14.8287266,3.848119575
3.857705778,0.052555036,0.210220144,-24.06642712,18.23431412,2.44660564,0.210220144,-17.15094025,-3.970671143
3.554213401,-1.2703617,-5.081446801,-5.97134995,17.23043717,-0.752736723,-5.081446801,-55.59154797,-0.968498425
3.84591309,-0.276156531,-1.104626125,-30.2254509,-17.36294015,0.49137016,-1.104626125,-35.22662197,-1.213294876
0.122419898,-0.38827327,-1.55309308,-5.706424172,-12.9441655,-0.312469056,-1.55309308,-20.09607013,-0.953503994
4.414165421,-0.179695131,-0.718780524,22.09529476,-11.87459637,0.289568058,-0.718780524,10.48843056,0.595356431
1.023776528,-0.127677481,-0.510709926,-17.54252972,-8.560225786,0.880349409,-0.510709926,-19.14112303,-2.348565683
0.575813185,-0.275905666,-1.103622663,-25.76242527,13.45613501,0.937173022,-1.103622663,-31.64616685,-1.808225606
-0.695943741,-0.302850088,-1.211400353,11.34689857,-0.676061147,0.294934473,-1.211400353,-3.036484679,-3.600038781
2.969923707,0.902845476,3.611381906,38.67941315,29.72407871,-1.536646791,3.611381906,67.05734958,10.84729047
0.919462315,-0.485833009,-1.943332036,-40.04163694,16.94982024,1.150001842,-1.943332036,-51.46662991,-1.69948764
