,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,Target3
0,2.617797175,-0.781370918,-3.125483671,22.33266167,-14.62407196,2.010853147,-3.125483671,R,c,-13.38870737,-4.635620368
1,-0.140274888,-0.28903104,-1.156124161,1.532035834,8.137649524,-0.032999217,-1.156124161,P,a,-10.33561294,-0.355847433
2,-10.77163278,-0.044438642,-0.177754569,7.12483776,-41.66133836,0.60841799,-0.177754569,Q,b,,-6.422916026
3,3.712708553,0.513311851,2.053247403,-44.67166765,-6.006885667,-0.614164346,2.053247403,Q,a,-15.20486009,4.341542885
4,5.260642045,0.607099868,2.428399473,23.17856075,6.898254109,0.876216019,2.428399473,Q,c,,5.40202086
5,-1.803948292,0.240731577,0.962926307,30.69695569,21.91075072,-0.034192822,0.962926307,R,a,34.18682762,1.32774202
6,1.228738184,-0.154239214,-0.616956855,-8.772783841,22.59691326,0.197528551,-0.616956855,R,b,,1.64314446
7,3.288050803,-0.169457507,-0.677830029,12.3254323,44.01578186,1.990571399,-0.677830029,Q,a,,-2.074592234
8,-5.005573125,0.0324287,0.129714801,10.85068576,-24.12206166,,0.129714801,Q,b,,1.560453354
9,-4.141710643,0.664623516,2.658494063,-10.33841047,,1.055628648,2.658494063,P,b,,0.130295834
10,0.814384265,-0.458664528,-1.834658112,-27.97602146,-9.071916574,-0.310113038,-1.834658112,Q,b,-40.72739829,-1.405190694
11,-2.596947426,-0.035185255,-0.14074102,-13.53548846,-15.81760812,0.550366438,-0.14074102,P,a,-12.23580097,-3.670204026
12,6.597893981,0.360554942,1.442219769,-12.08962005,-12.40051285,1.245953372,1.442219769,P,a,4.750501645,0.669711528
13,-4.270560381,-0.096819603,,1.250920822,8.48906879,0.444667976,-0.387278413,R,b,-2.872047471,-4.282561926
14,-1.930207719,-1.173024419,-4.692097675,25.95973906,-38.51450714,-1.256989196,-4.692097675,P,c,-26.1531855,-4.004571582
15,4.66897162,0.262244169,1.048976676,10.94719165,-28.13756443,1.183597869,1.048976676,R,a,19.24752008,-2.075533551
16,3.039492119,-1.052960843,-4.21184337,17.91223318,-7.823817833,-1.686496881,-4.21184337,P,c,-27.78864716,-0.395300375
17,1.27325307,-0.296665073,-1.186660291,5.819055763,6.700245281,0.690182925,-1.186660291,R,a,-7.211358298,-1.667738456
18,-2.738653699,-0.266087727,-1.064350907,17.30107558,-8.591609699,-1.655548764,-1.064350907,R,b,,0.596461999
19,-0.981858366,0.66907952,2.676318081,23.02334249,-8.833252369,0.11072312,,P,c,45.1818548,4.490485169
20,3.164411299,0.219012905,0.87605162,-10.096913,38.82287,1.419981005,0.87605162,P,b,,1.613048844
21,2.333885319,0.227074199,,-25.79556324,-10.60258859,-0.23125541,0.908296796,P,c,,0.94201624
22,-0.336396277,0.791895632,3.167582529,-12.7070533,-8.956524816,-1.477638169,3.167582529,Q,a,21.51018264,6.826724239
23,-0.643190414,-0.018834103,-0.075336413,-9.573731249,-13.10013645,0.744457974,-0.075336413,P,c,,0.882461211
24,-1.038281447,0.000300839,0.001203356,22.78490524,-20.84077258,,0.001203356,Q,c,,1.80520695
25,-4.986487449,0.066709784,0.266839137,-16.51207864,2.016555109,1.392828535,0.266839137,Q,b,-10.54127155,-2.68973296
26,2.159514658,-0.154731561,-0.618926244,-1.984294309,11.88605468,-1.471564579,,Q,b,-7.776697889,5.224445012
27,-0.103391848,0.58408283,2.336331321,-8.28228581,3.65982978,-0.253664557,2.336331321,P,c,16.73748456,4.394309674
28,-4.769857427,0.118420912,0.473683647,23.91720775,8.466256647,0.097363187,0.473683647,P,a,23.87060267,-0.327493072
29,-0.08312531,,-1.386256116,18.61720478,-1.055110121,1.336347018,-1.386256116,P,c,,-4.697083927
30,-0.696754517,-0.234775239,-0.939100955,5.668907743,25.46802408,-3.127196144,-0.939100955,Q,a,-4.85588336,6.331731687
31,-1.56455814,0.085411912,0.341647646,-16.3144721,-26.82012235,1.701940827,0.341647646,P,c,,-3.643592435
32,-0.52383497,0.072492072,0.289968288,18.45549618,,-0.862658842,0.289968288,Q,b,17.66407982,2.156652947
33,1.919062563,-0.040073019,-0.160292078,-13.35692669,-14.56061123,-1.244036707,-0.160292078,R,a,-12.28846213,1.989227667
34,-4.638564362,0.044742567,0.178970268,-7.172880397,13.62919908,-0.174133108,0.178970268,R,c,-3.94860164,0.626964016
35,-3.575726443,0.347738929,,2.548514258,1.539888664,0.412312053,1.390955717,R,b,,-0.49088938
36,1.515729501,-0.160505081,-0.642020325,9.948501949,16.63264784,-0.545653776,-0.642020325,R,b,1.538598313,1.595980666
37,-1.286848728,0.404986769,1.619947076,-15.85762267,6.517148927,0.612013334,1.619947076,Q,a,3.51337262,1.108113942
38,-4.022268524,0.345852172,,-8.145542841,-4.016739503,0.53033777,1.383408689,P,a,7.317652619,-1.658738848
39,-2.197037201,,2.651124812,-5.231253978,-9.787401444,0.149763025,2.651124812,P,b,22.32624494,2.306220475
40,-0.446365764,-0.282663101,-1.130652402,5.110011166,7.29894189,1.684723717,-1.130652402,R,a,-7.218515092,-4.682818357
41,-0.149860798,0.883651953,3.534607814,2.066629033,-19.08991061,,3.534607814,R,b,,4.67690998
42,,0.538182961,2.152731843,-13.76410598,5.022302211,0.891126544,2.152731843,P,c,10.51603365,-2.571704335
43,,0.017720865,0.07088346,-19.44051893,-6.61368011,-0.434900224,0.07088346,Q,c,-14.84358054,4.675353392
44,-3.849103376,0.496899644,1.987598575,-6.309073938,1.716561967,-0.641880961,1.987598575,R,c,14.8287266,3.848119575
45,-4.003228576,0.605037046,,14.87019126,-25.34252226,,2.420148183,Q,a,36.09763483,0.259499382
46,3.857705778,0.052555036,0.210220144,-24.06642712,18.23431412,2.44660564,0.210220144,P,a,-17.15094025,-3.970671143
47,0.671631878,0.541297409,2.165189637,0.158861423,-30.18880417,-1.629332188,2.165189637,P,b,,6.344498623
48,-2.02817902,-0.211436903,-0.845747611,29.93180441,11.24950602,1.776950583,-0.845747611,R,c,,-3.305692791
49,4.526920843,-0.730948021,-2.923792083,4.922750727,,0.045266163,-2.923792083,Q,c,-25.29972025,2.257109348
50,3.554213401,-1.2703617,-5.081446801,-5.97134995,17.23043717,-0.752736723,-5.081446801,P,a,-55.59154797,-0.968498425
51,0.965488549,-0.461154293,-1.844617173,7.294588888,5.509870191,1.484839043,-1.844617173,R,a,,-3.660389313
52,3.84591309,-0.276156531,-1.104626125,-30.2254509,-17.36294015,0.49137016,-1.104626125,P,c,-35.22662197,-1.213294876
53,2.696886761,-0.364713573,-1.458854292,19.50331244,-37.49661731,,-1.458854292,P,a,1.014107032,-2.244763904
54,0.657109503,-0.145055564,-0.580222257,-25.63056164,-20.89915382,-0.416505981,,R,b,,0.241298304
55,0.122419898,-0.38827327,-1.55309308,-5.706424172,-12.9441655,-0.312469056,-1.55309308,R,c,-20.09607013,-0.953503994
56,4.414165421,-0.179695131,-0.718780524,22.09529476,-11.87459637,0.289568058,-0.718780524,R,b,10.48843056,0.595356431
57,2.453237994,-0.388126114,,8.632919877,0.371086617,-0.950517489,-1.552504458,P,c,-8.618708678,2.891974497
58,0.214163707,-0.005617301,-0.022469205,-36.51640437,4.726821313,-0.017185347,-0.022469205,P,a,,-0.749514222
59,1.023776528,-0.127677481,-0.510709926,-17.54252972,-8.560225786,0.880349409,-0.510709926,P,b,-19.14112303,-2.348565683
60,-1.205195363,-0.716260084,-2.865040336,-17.40169201,15.23836116,-0.114629617,-2.865040336,R,c,,-2.658683513
61,0.575813185,-0.275905666,-1.103622663,-25.76242527,13.45613501,0.937173022,-1.103622663,R,a,-31.64616685,-1.808225606
62,3.587339268,-0.680171064,,-6.163451781,11.40085922,1.321940874,-2.720684258,Q,c,-32.137604,-3.812476842
63,-0.695943741,-0.302850088,-1.211400353,11.34689857,-0.676061147,0.294934473,-1.211400353,Q,a,-3.036484679,-3.600038781
64,-2.833047734,-0.217571557,,0.86131532,18.63629351,1.374910786,,Q,a,-8.013810025,-4.30967558
65,2.291148594,-0.289955164,-1.159820656,-29.71369081,6.808435898,,-1.159820656,R,b,,5.207276368
66,-2.644054042,-0.074660769,-0.298643078,0.420810992,-10.32768511,0.431852957,-0.298643078,R,c,,0.479448544
67,2.969923707,0.902845476,3.611381906,38.67941315,29.72407871,-1.536646791,3.611381906,P,b,67.05734958,10.84729047
68,0.919462315,-0.485833009,-1.943332036,-40.04163694,16.94982024,1.150001842,-1.943332036,Q,c,-51.46662991,-1.69948764
69,0.137380632,0.145360209,0.581440837,-60.28610547,-4.368742677,0.908141735,0.581440837,Q,b,,-2.328254714
70,-1.518427237,-0.900213713,-3.600854852,27.79992543,-9.755116325,-0.182458186,-3.600854852,P,a,-13.76860818,-3.953825777
71,-3.744963586,,-2.16347027,-7.446218911,33.05143138,-0.874313903,-2.16347027,R,b,,0.092649278
72,-1.913217301,0.259692087,1.038768346,47.83455668,12.41737629,-0.300544319,1.038768346,Q,b,,2.136702221
73,-2.142973066,0.845432906,3.381731626,30.99401495,11.90351388,-1.788499365,3.381731626,R,b,58.61252822,5.366144999
74,1.096652026,-0.009830451,-0.039321806,1.232096666,23.8188833,,-0.039321806,R,a,0.592459274,6.212770046
75,-1.440581141,0.143800668,0.575202671,-2.300172507,-18.0156115,1.181925854,0.575202671,P,a,3.911888706,-2.278358725
76,-1.002326947,-0.481524814,-1.926099255,4.843717131,4.158279502,0.832876312,-1.926099255,Q,c,,-3.174946624
77,-2.824159588,0.512287667,2.04915067,48.30481181,16.66683999,-2.688459053,2.04915067,Q,a,59.13535615,8.355460468
78,-2.856161846,-0.021569158,-0.086276631,9.610547939,20.17324462,,-0.086276631,R,c,6.825672038,-3.014358376
79,-0.168233066,-0.390474336,,14.59405583,-44.10468176,0.332510702,-1.561897345,R,c,-3.943728787,-4.836488446
